Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of MAP kinase activity (GO:0043405)	1/97	1.606924e-01	2.176467e-01	0	0	5.913095e+00	1.081069e+01	LRRK2
GO_Biological_Process_2021	negative regulation of neuron death (GO:1901215)	1/98	1.622105e-01	2.190098e-01	0	0	5.851841e+00	1.064368e+01	LRRK2
GO_Biological_Process_2021	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	2/404	1.642189e-01	2.209009e-01	0	0	2.862452e+00	5.171178e+00	PDK4;APPL1
GO_Biological_Process_2021	organic acid transport (GO:0015849)	1/100	1.652387e-01	2.209009e-01	0	0	5.733045e+00	1.032157e+01	ABCC3
GO_Biological_Process_2021	cellular response to chemical stress (GO:0062197)	1/101	1.667489e-01	2.209009e-01	0	0	5.675429e+00	1.016620e+01	LRRK2
GO_Biological_Process_2021	protein O-linked glycosylation (GO:0006493)	1/102	1.682563e-01	2.209009e-01	0	0	5.618953e+00	1.001447e+01	EOGT
GO_Biological_Process_2021	regulation of cell death (GO:0010941)	1/102	1.682563e-01	2.209009e-01	0	0	5.618953e+00	1.001447e+01	LRRK2
GO_Biological_Process_2021	calcium-mediated signaling (GO:0019722)	1/102	1.682563e-01	2.209009e-01	0	0	5.618953e+00	1.001447e+01	LRRK2
GO_Biological_Process_2021	cell junction assembly (GO:0034329)	1/102	1.682563e-01	2.209009e-01	0	0	5.618953e+00	1.001447e+01	CDH5
GO_Biological_Process_2021	positive regulation of vasculature development (GO:1904018)	1/102	1.682563e-01	2.209009e-01	0	0	5.618953e+00	1.001447e+01	CDH5
GO_Biological_Process_2021	regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	1/102	1.682563e-01	2.209009e-01	0	0	5.618953e+00	1.001447e+01	LRRK2
GO_Biological_Process_2021	cellular metal ion homeostasis (GO:0006875)	1/104	1.712633e-01	2.241611e-01	0	0	5.509293e+00	9.721440e+00	CDH5
